ID,CREATED,DESCRIPTION,CHALLENGE,,LENGTH(DESCRIPTION)
10552,2018+AC0-12+AC0-04 16:48:06.722,+ACI-Explore new energy solutions like using wave energy, and algae+AC0-carbon harvesting.+ACI-,cc19 pilot study environment,,81
10388,2018+AC0-12+AC0-04 10:05:01.608,+ACI-Boycott companies that aren't certified as having +ACIAIg-Green+ACIAIg- manufacturing processes.+ACI-,cc19 pilot study environment,,83
10161,2018+AC0-12+AC0-03 17:30:56.733,+ACI-Change water usage, shorter showers and use a dishwasher instead of washing by hand.+ACI-,cc19 pilot study environment,,84
10196,2018+AC0-12+AC0-03 17:47:31.256,Turning off TVs and computers while not in use can help to preserve the environment.,cc19 pilot study environment,,84
10555,2018+AC0-12+AC0-04 16:49:55.333,Become better at communicating the effects of climate change to capture more support.,cc19 pilot study environment,,85
10558,2018+AC0-12+AC0-04 16:53:14.887,+ACI-Eating more efficient meats including chicken and fish, and less beef, pork and lamb.+ACI-,cc19 pilot study environment,,85
10460,2018+AC0-12+AC0-04 15:35:49.219,One can be careful to conserve resources in their home such as electricity and water. ,cc19 pilot study environment,,87
10424,2018+AC0-12+AC0-04 15:26:55.434,Always recycle bottles and cans and throw trash in the garbage instead of on the ground,cc19 pilot study environment,,88
10262,2018+AC0-12+AC0-03 18:59:25.692,People can abstain from buying products made with materials that are less biodegradable. ,cc19 pilot study environment,,89
10326,2018+AC0-12+AC0-04 08:44:00.526,+ACI-Use dark settings on websites, computer,  cell phones etc. that have the option to do so.+ACI-,cc19 pilot study environment,,89
10457,2018+AC0-12+AC0-04 15:35:29.137,One can purchase second hand items and clothing whenever possible to use less resources. ,cc19 pilot study environment,,90
10295,2018+AC0-12+AC0-04 08:32:53.543,+ACI-Stop eating so much meat, as too many resources go towards raising animals for consumption.+ACI-,cc19 pilot study environment,,91
10432,2018+AC0-12+AC0-04 15:29:40.279,Inform your neighbors and community of ways they can save energy and protect the environment,cc19 pilot study environment,,93
10407,2018+AC0-12+AC0-04 10:35:07.086,People can set up an incentive program to get their fellow neighbors to buy recycled products.,cc19 pilot study environment,,94
10513,2018+AC0-12+AC0-04 15:57:09.04,One can have a general respect for nature and never be destruct to animals or their habitats. ,cc19 pilot study environment,,94
10542,2018+AC0-12+AC0-04 16:40:02.338,Help countries like Brazil with discounts on food so that they don't deforest the rain forest.,cc19 pilot study environment,,94
10551,2018+AC0-12+AC0-04 16:46:42.043,+ACI-Develop more effective green energies, wind, solar, and hydroelectric should be prioritized.  +ACI-,cc19 pilot study environment,,94
10203,2018+AC0-12+AC0-03 17:51:20.331,+ACI-Keep your thermostat a few degrees higher in the summer, and a few degrees lower in the winter. +ACI-,cc19 pilot study environment,,96
10287,2018+AC0-12+AC0-03 19:11:26.783,People can use black out curtains in their homes to better insulate the windows and save energy.,cc19 pilot study environment,,96
10316,2018+AC0-12+AC0-04 08:37:35.287,+ACI-Invest in wind and solar power for their homes, or elect to buy clean energy from their utility.+ACI-,cc19 pilot study environment,,96
10501,2018+AC0-12+AC0-04 15:51:29.092,Plant grass and other plants in our yards that do not require much water to reduce water usage.,cc19 pilot study environment,,96
10231,2018+AC0-12+AC0-03 18:20:09.138,We could bring our own reusable bags to the shops to cut down on plastic bag and paper bag waste.,cc19 pilot study environment,,97
10276,2018+AC0-12+AC0-03 19:05:36.943,People can reduce the length of their showers by at least 50+ACU- and perhaps shower less frequently.,cc19 pilot study environment,,97
10373,2018+AC0-12+AC0-04 09:55:56.175,Get involved with some of the existing organizations that have  cleanup activities and join them.,cc19 pilot study environment,,97
10529,2018+AC0-12+AC0-04 16:29:18.749,Sugar and cafeine should be pointed out as how dangerous they can be on the human nervous system.,cc19 pilot study environment,,97
10175,2018+AC0-12+AC0-03 17:34:37.779,never use items manufactured by the company that uses harmful substance that pollutes environment.,cc19 pilot study environment,,98
10283,2018+AC0-12+AC0-03 19:08:29.761,People can shun products that contain harmful chemicals and embrace ones with natural ingredients.,cc19 pilot study environment,,98
10499,2018+AC0-12+AC0-04 15:50:28.95,People with houses can install solar panels and rely less on hydroelectric sauces of electricity.,cc19 pilot study environment,,98
10163,2018+AC0-12+AC0-03 17:31:33.434,+ACI-Recycle more, the less trash thrown away the less new stuff that needs to be created to replace it.+ACI-,cc19 pilot study environment,,99
10480,2018+AC0-12+AC0-04 15:42:25.072,People should carpool or use public transport as much as possible to help reduce carbon footprint. ,cc19 pilot study environment,,100
10405,2018+AC0-12+AC0-04 10:33:35.535,People can replant tress that were cut down either due to logging or damage from weather or accident.,cc19 pilot study environment,,101
10368,2018+AC0-12+AC0-04 09:50:29.688,People can make sure that all electronic devices and lights are turned out before leaving their home. ,cc19 pilot study environment,,102
10197,2018+AC0-12+AC0-03 17:48:10.878,Using energy efficient CFL light bulbs instead of incandescent bulbs can help preserve the environment.,cc19 pilot study environment,,103
10294,2018+AC0-12+AC0-04 08:32:18.776,People can choose to take alternative forms of transportation like riding a bike or skateboard to work.,cc19 pilot study environment,,103
10377,2018+AC0-12+AC0-04 09:57:31.318,+ACI-Recycle everything and compost everything else you can, it would make a huge impact on area landfills.+ACI-,cc19 pilot study environment,,103
10191,2018+AC0-12+AC0-03 17:43:37.288,Walking or taking public transportation when possible instead of driving is helpful to the environment. ,cc19 pilot study environment,,104
10380,2018+AC0-12+AC0-04 09:59:02.755,+ACI-Always report violations whenever you see pollution happening, especially before it gets out of control.+ACI-,cc19 pilot study environment,,104
10392,2018+AC0-12+AC0-04 10:10:38.172,Make even more stringent laws and requirements for oil exploration and production for offshore drilling.,cc19 pilot study environment,,105
10398,2018+AC0-12+AC0-04 10:26:11.173,People can start buying Energy Star rated appliances to save energy and reduce the usage of fossil fuels.,cc19 pilot study environment,,105
10505,2018+AC0-12+AC0-04 15:52:52.101,Companies should be encouraged to find ways of reusing or re purposing their waste to reduce land fills. ,cc19 pilot study environment,,106
10325,2018+AC0-12+AC0-04 08:42:53.203,+ACI-Instead of turning on the heater/space heater, put on more layers or thicker layers of clothing if possible.+ACI-,cc19 pilot study environment,,108
10286,2018+AC0-12+AC0-03 19:10:50.282,People can lower their thermostats or set their air conditioner on a timer rather than using it continuously.,cc19 pilot study environment,,109
10347,2018+AC0-12+AC0-04 08:57:55.295,We could all work together and get on the same page and do something to prevent global warming from worsening ,cc19 pilot study environment,,110
10186,2018+AC0-12+AC0-03 17:37:20.775,Adopt children instead of having your own. Less people brought onto this planet mean less stress for the planet.,cc19 pilot study environment,,112
10327,2018+AC0-12+AC0-04 08:45:45.317,+ACI-Turn off lights and power to electronics when not in use, it's not good enough to just leave things in sleep mode.+ACI-,cc19 pilot study environment,,114
10232,2018+AC0-12+AC0-03 18:21:53.008,+ACI-We could car pool more, provide a monetary incentive to encourage more car pooling which will reduce auto emission.+ACI-,cc19 pilot study environment,,115
10494,2018+AC0-12+AC0-04 15:48:33.235,People should also eat less meat because the production of meat here in the US plays a big role in global warming. ,cc19 pilot study environment,,115
10230,2018+AC0-12+AC0-03 18:19:09.54,We could buy more locally produced goods to cut down on out of state transportation which creates less auto emission.,cc19 pilot study environment,,117
10187,2018+AC0-12+AC0-03 17:39:34.941,+ACI-Buy local made/grown/manufactured goods, if more people shop local then less resources are used shipping stuff around.+ACI-,cc19 pilot study environment,,118
10333,2018+AC0-12+AC0-04 08:49:40.967,+ACI-We can try to reduce waste as much as possible, for example by using reusable bags for shopping instead of plastic bags+ACI-,cc19 pilot study environment,,119
10521,2018+AC0-12+AC0-04 16:14:00.933,+ACI-All snacks such as chips, candies, cakes and ice cream should have 5 cents deposits for their return like cans and bottles. +ACI-,cc19 pilot study environment,,124
10540,2018+AC0-12+AC0-04 16:39:07.099,Support companies that are more environmentally friendly by purchasing their products over other companies that are less so.,cc19 pilot study environment,,124
10219,2018+AC0-12+AC0-03 18:08:41.095,People can purchase more reusable products so they create less waste and we don't have to create more landfills for that waste.,cc19 pilot study environment,,127
10530,2018+AC0-12+AC0-04 16:30:32.179,+ACI-People should learn the dangers of acid rain, and the government should investigate those clouds to make the environment safer.+ACI-,cc19 pilot study environment,,127
10553,2018+AC0-12+AC0-04 16:48:34.463,+ACI-Develop new technologies that create energy in a space+AC0-based environment, like new solar technologies and storage technologies.+ACI-,cc19 pilot study environment,,127
10192,2018+AC0-12+AC0-03 17:45:24.837,Taking quicker showers can be helpful to the environment. Spending too much time in the shower can waste water and electricity. ,cc19 pilot study environment,,128
10338,2018+AC0-12+AC0-04 08:52:02.372,+ACI-We can take shorter trips, e.g. vacation in a nearby town rather than a country far away, so as to reduce energy waste and emissions.+ACI-,cc19 pilot study environment,,133
10547,2018+AC0-12+AC0-04 16:43:08.492,+ACI-Enact laws that truly punish companies that create problems through pollution, spills, or other environmentally unfriendly practices.+ACI-,cc19 pilot study environment,,133
10221,2018+AC0-12+AC0-03 18:09:38.511,+ACI-People can purchase recyclable products, again to create less waste but to also use less resources to create more products like trees.+ACI-,cc19 pilot study environment,,134
10526,2018+AC0-12+AC0-04 16:22:36.381,There should be a new way to confront insects. The sprays they use against them are poisonous. A new way would protect the enviroment.,cc19 pilot study environment,,134
10245,2018+AC0-12+AC0-03 18:40:16.82,We can unite the world to establish a recycle system that works the same way everywhere. This would make recycling a lot more efficient.,cc19 pilot study environment,,136
10524,2018+AC0-12+AC0-04 16:20:17.838,People should find away to make cars run on water instead of fossil fuels. This would change the game for cars and cut down on pollution.,cc19 pilot study environment,,137
10199,2018+AC0-12+AC0-03 17:49:16.201,+ACI-Invest in solar for your house, replace roof with solar panels and go off grid when possible. Sell back generated electricity that goes unused.+ACI-,cc19 pilot study environment,,143
10484,2018+AC0-12+AC0-04 15:43:57.321,we should do our best to influence public policy by electing leaders who have environmental conservation as an important part of their policy. ,cc19 pilot study environment,,144
10399,2018+AC0-12+AC0-04 10:27:31.722,+ACI-People can weatherized their homes before winter to save on using heating, which will reduce the usage of fossil fuels like coal and petroleum oil.+ACI-,cc19 pilot study environment,,147
10228,2018+AC0-12+AC0-03 18:17:11.485,We could restructure how we work to encourage more bicycling to work. Perhaps a tax incentive or some kind of incentive to get people to bike more. ,cc19 pilot study environment,,148
10456,2018+AC0-12+AC0-04 15:35:14.344,One can preserve the environment by using less raw materials. One can be careful to maintain their belongings so they do not have to replace items. ,cc19 pilot study environment,,148
10189,2018+AC0-12+AC0-03 17:41:35.898,+ACI-To help preserve the environment, people can help keep their communities clean. Not littering and picking up litter when possible can be beneficial. +ACI-,cc19 pilot study environment,,149
10557,2018+AC0-12+AC0-04 16:52:25.941,+ACI-Using less plastics would help a lot of different ways, including being safer for animals, and helping out with litter, and garbage disposal/decomposition.+ACI-,cc19 pilot study environment,,155
10280,2018+AC0-12+AC0-03 19:07:21.657,+ACI-People can purchase products that are higher quality and built to last, rather than low quality products that will require replacing in a short amount of time.+ACI-,cc19 pilot study environment,,159
10561,2018+AC0-12+AC0-04 16:54:42.462,+ACI-Develop battery technology that allows close to a full charge in a very nominal amount of time, similar to that of the time to fill up a vehicle with gasoline.+ACI-,cc19 pilot study environment,,159
10545,2018+AC0-12+AC0-04 16:41:51.834,+ACI-Let grass grow longer before cutting it, which serves a dual purpose, both using less energy to cut, and grass that is longer is slightly  more of a carbon sink.+ACI-,cc19 pilot study environment,,161
10234,2018+AC0-12+AC0-03 18:23:59.476,People can make their voices heard and have the government implement restrictions on large industries. Sometimes we don't know how a product that we buy is made.  ,cc19 pilot study environment,,163
10244,2018+AC0-12+AC0-03 18:37:39.466,We can solve problems in new ways that don't require products that we buy today. We can make roads easier to navigate so that we don't need GPS devices for example. ,cc19 pilot study environment,,165
10394,2018+AC0-12+AC0-04 10:12:56.451,+ACI-Make a difference in your own community, organize town hall meetings and provide incentives for residents to dispose of any toxic chemicals instead of dumping them.+ACI-,cc19 pilot study environment,,165
10226,2018+AC0-12+AC0-03 18:15:42.279,We should use less plastic because they just end op in the ocean and since they don't degrade for a very long time they can harm to the wild life and ocean ecosystem.,cc19 pilot study environment,,166
10435,2018+AC0-12+AC0-04 15:29:57.068,Making products that utilize water to be efficient and recalling all products that are wasteful. Or making those products that are inefficient illegal state to state. ,cc19 pilot study environment,,167
10528,2018+AC0-12+AC0-04 16:28:43.081,Organic food should be made more cheaper. Organic food is great but way too expensive for the masses. That's why people buy junk food because it is cheaper than organic.,cc19 pilot study environment,,169
10242,2018+AC0-12+AC0-03 18:33:28.855,+ACI-If we create artificial materials that could replace metals like aluminium and steal, we could reduce the carbon release and make air quality better through out the world. +ACI-,cc19 pilot study environment,,172
10470,2018+AC0-12+AC0-04 15:39:39.12,People should educate themselves on different ways they may be able to help preserve the environment. Having an educated public goes a long way in helping solve the problem.,cc19 pilot study environment,,174
10190,2018+AC0-12+AC0-03 17:42:50.621,+ACI-You can use cloth reusable bags at the grocery store instead of plastic bags, which are terrible for the environment. Cloth bags are easier to carry, and can be used for years. +ACI-,cc19 pilot study environment,,177
10532,2018+AC0-12+AC0-04 16:37:05.181,More restaurants/companies should offer discounts for customers to use reusable cups and other items like those instead of new cups/silverware each time they go to the establishment.,cc19 pilot study environment,,182
10240,2018+AC0-12+AC0-03 18:31:50.744,Contribute to the enviornment yourself+ACE- Plant trees grow fruit and plants and make sure that you make your homes beautiful and also make your towns and cities better in ways necessary.,cc19 pilot study environment,,184
10450,2018+AC0-12+AC0-04 15:34:06.139,Plastic bags should be abolished in all countries and alternatives to plastic bags be provided. Plastic bags are some of the biggest polluters and abolishing them will go a long way. ,cc19 pilot study environment,,184
10527,2018+AC0-12+AC0-04 16:23:59.774,Solar power use should be pushed more on the American public. The solar power would greatly helped the enviroment over fossil fuels. They should make solar power homes and cars cheaper.,cc19 pilot study environment,,185
10391,2018+AC0-12+AC0-04 10:08:54.817,Give bigger tax benefits to companies that use more wind and solar power generation and give them incentives to make the power more affordable to the consumer for more widespread usage.,cc19 pilot study environment,,186
10467,2018+AC0-12+AC0-04 15:38:17.482,People should encourage companies to manufacture products in an environmentally conscious way by only buying goods from companies with a good record in terms of conservation of the environment. ,cc19 pilot study environment,,195
10235,2018+AC0-12+AC0-03 18:26:04.672,+ACI-We can create labels for electronic devices that show how the product is made. Therefor people could decide to purchase a product that is friendlier on the environment, forcing big companies to adjust. +ACI-,cc19 pilot study environment,,202
10243,2018+AC0-12+AC0-03 18:33:50.566,Once you have started changing encourage others to do the same. Start groups and clubs of people who want to better the environment and make changes on bigger scales to ensure that they are felt quicker.,cc19 pilot study environment,,203
10238,2018+AC0-12+AC0-03 18:31:12.995,Go out into different environments and help they stay safe by cleaning them up. if you have a beach make an effort to go out a couple times a year and make sure it is a healthy environment and not polluted.,cc19 pilot study environment,,206
10472,2018+AC0-12+AC0-04 15:40:01.669,Each city should have bus passes given to students in high school and college to then use to save the environment from conjestion and other polution from cars. Car pools and public transportation is the over all goal. ,cc19 pilot study environment,,218
10222,2018+AC0-12+AC0-03 18:11:26.315,We can adopt all natural products like body wash for example so that chemicals don't go into the oceans and effect the ocean ecosystem and everything relating to the ocean or more specifically the wild life in the ocean.,cc19 pilot study environment,,220
10241,2018+AC0-12+AC0-03 18:32:28.001,If you are not near any form of wilderness then donate to those who are. Wildlife reserves and environmentalists are always looking for more funding to preserve the natural world and you can make a difference in that way.,cc19 pilot study environment,,221
10225,2018+AC0-12+AC0-03 18:14:49.469,We could use more renewable energy and invest more in renewable energy technology so that we stop burning coal which creates pollution and stop using oil. The by products and emissions from those pollute the environment a great deal.,cc19 pilot study environment,,233
10239,2018+AC0-12+AC0-03 18:31:27.944,We can create products that doesn't need to be upgraded as often. Electronic devices could rely on servers instead of inboard processors. This would make it possible to enhance the power of mobile devices without replacing the entire unit. ,cc19 pilot study environment,,240
10233,2018+AC0-12+AC0-03 18:22:36.822,People can switch off devices that they aren't using. We spend too much time on our computers now days and sometimes it's good to just turn them off so that we can enjoy life more stress free. This will save power and therefor the environment. ,cc19 pilot study environment,,244
10401,2018+AC0-12+AC0-04 10:30:50.028,+ACI-People can fund a donation drive where he donation can be used to buy solar panels for old buildings in their neighborhood. Getting these old, energy+AC0-inefficient off the grid will help the environment but reducing the building's carbon footprint.+ACI-,cc19 pilot study environment,,246
10258,2018+AC0-12+AC0-03 18:56:47.277,+ACI-Stop the destruction of rainforests. With the world and it's ever needing use for paper products, too many rainforests, and regular forests, are being destroyed for personal use. Limiting the amount of forest destruction would preserve the environment. +ACI-,cc19 pilot study environment,,253
10288,2018+AC0-12+AC0-03 19:11:48.43,+ACI-Buy from local farmers and farmers markets. This greatly reduces the mass transportation of products to large chain grocery stores, and also is environmentally friendly because they've taken the steps to make their own garden, as I explained in a previous answer. +ACI-,cc19 pilot study environment,,264
10255,2018+AC0-12+AC0-03 18:52:34.893,+ACI-Being more mindful of recycling. We have the ability to recycle our plastic first and foremost, but other recyclables like glass, cardboard to be reused etc would help preserve the environment, and greatly reduce the impact of waste and waste facilities across the world. +ACI-,cc19 pilot study environment,,272
10236,2018+AC0-12+AC0-03 18:28:39.868,A dark horse idea would be to use materials from different planets instead of ours. This is unrealistic for today's standards but possibility for the future. The problem is that we are abusing the world we live in. using materials from different planets wouldn't hurt any life.,cc19 pilot study environment,,277
10485,2018+AC0-12+AC0-04 15:44:22.693,Offering adult classes in highschools and colleges where the government provides teachers to educate people on basic practices that help with waste. Also explaining more in depth the issues with chemicals in daily use products and how that effects the water quality all over the world. ,cc19 pilot study environment,,286
10442,2018+AC0-12+AC0-04 15:31:45.568,Focusing on waste management and reorganizing the business aspect so that all cities and states have the same standards and practices. Once there is one faction there would be less confusion and more focus on the methods to improve waste management can be improved and there for efficient,cc19 pilot study environment,,288
10237,2018+AC0-12+AC0-03 18:30:36.476,Changing the world starts at a community and personal level first.Everyone could start by conserving energy in multiple ways. Recycling is one of the easiest ways that people can make a difference. Plastic is one of the biggest offenders of pollution so everyone recycling at home is a great start.,cc19 pilot study environment,,298
10279,2018+AC0-12+AC0-03 19:06:53.914,+ACI-Buy energy conservation electric products. There are many products on the market that are labeled for conserving energy in your daily life, and should be considered a worthwhile purchase. Not only will it save you money in your electric bill in the long run, but it's also good for the environment+ACE-+ACI-,cc19 pilot study environment,,298
10465,2018+AC0-12+AC0-04 15:38:01.098,Ads being run daily and in frequent icrements on the tax deductions available to citizens if they implement certain environmentally saving items. If people are made aware they could save money by spending some they would be more inclined to put the effort in and would help the environment at the same time. ,cc19 pilot study environment,,308
10271,2018+AC0-12+AC0-03 19:03:10.395,+ACI-Carpooling or public transportation. If you have to go somewhere, travel in groups to avoid multiple cars providing harmful emissions to the environment, or take a bus in which others are doing as well. Even one trip like this a week in the grand scheme of things can be very helpful for the environment overall. +ACI-,cc19 pilot study environment,,313
10268,2018+AC0-12+AC0-03 19:02:20.521,+ACI-Transportation is a big issue in itself, if you are driving a gas powered car, being mindful of your emissions is a great way to preserve the environment. Avoid letting your car run idle in lines, or warming up in the winter. Turning your car off to reduce harmful emissions can go a long way for just a short period of time a day. +ACI-,cc19 pilot study environment,,332
10448,2018+AC0-12+AC0-04 15:33:54.689,All faucets in rented homes and apartments must come with a filter and tenants can pay for the replacements and maintanence with their monthly fees. It would decrease the use of bottle water and that means less plastic and waste. Also provide a tax deduction for home owners who provide proof of water filters in their homes systems,cc19 pilot study environment,,332
10273,2018+AC0-12+AC0-03 19:04:31.929,+ACI-Reducing your footprint from an energy standpoint. Turning off lights when you leave the room, or unplugging appliances that aren't an every day use can go a long way in preserving the environment. If everyone were to follow this simple model that only takes up brief seconds of your day, we can all do a part in preserving the environment. +ACI-,cc19 pilot study environment,,341
10461,2018+AC0-12+AC0-04 15:36:24.024,Legalizing all drug use and create goverment buildings to sell the drugs with restrictions for safety and taking the proceeds to then put back into the cities locally. The cities will be better structured and traffic studies can be done to help lower conjestion and then less traffic means less smog and other polution from cars as they will be on the road less. ,cc19 pilot study environment,,363
10282,2018+AC0-12+AC0-03 19:08:08.763,+ACI-Recycle your electronics instead of throwing them away. Electronics are a daily way of life, from cell phones to mp3 players. Nearly everyone has at least one electronic at their disposal. If it breaks or malfunctions, instead of tossing it in the trash, recycle it. Many phone companies have recycling containers for old phones, and should be used to help preserve the environment. +ACI-,cc19 pilot study environment,,383
10277,2018+AC0-12+AC0-03 19:05:48.301,+ACI-Plant and harvest your own garden. While you might not realize it, this can reduce the harmfulness to the environment overall. If you have your own garden, you make less trips to the store to buy fruit and vegetables, and you get to reap the rewards of having your own little farm in your backyard. This is a great way to preserve the environment that many use, but even more do not. +ACI-,cc19 pilot study environment,,384
10256,2018+AC0-12+AC0-03 18:53:42.092,+ACI-Removing plastic straws from out everyday life. Something that's gained traction as of late are the immense use of plastic straws and how many of them end up in the ocean vastly damaging species in the ocean and all waterlife overall. Implimenting reusable straws, or even paper straws as some companies have started to do, would greatly improve the impact they have on the environment. +ACI-,cc19 pilot study environment,,387
10490,2018+AC0-12+AC0-04 15:47:03.569,In each grade level in schools there should be an additional subject on environmental safety practices. In the beginning years when a child is too young to truly help we can focus on developing other skills with the use of environmental topics for example gardening is helpful with motor and creativity but overall teaches renewable sources and independence. Higher ages can do more in depth work and studies.,cc19 pilot study environment,,409
10523,2018+AC0-12+AC0-04 16:18:55.275,+ACI-All states should have deposit returns for their snacks such as cakes,candies, ice cream and chips like they have for bottles and cans.  An example is instead of throwing out thier cakes,candies, ice cream and chips wrappers they would bring them back to thier local redemption center and be paid .5 cents each like they do with bottles and cans. This would encourage people to recycle instead of throwing away the wrappers out in the wild+ACI-,cc19 pilot study environment,,439
10260,2018+AC0-12+AC0-03 18:58:19.419,+ACI-Stop the use of aerosol cans all together. We've made great strides to remove the use of aerosol cans such as in hair spray which was used 20+AC0-30 years ago, to how much is used today which has already made a great impact on preserving the environment. Although, there are still many cans on the market that can be produced differently that would have much less of an impact. Removing these from stores in general should be an easy move to help preserve the environment. +ACI-,cc19 pilot study environment,,469
10257,2018+AC0-12+AC0-03 18:55:10.662,+ACI-Move forward towards more electric cars. Electricity is a much much less environmental impact than gas emissions. For far too long the world has relied on gas for transportation, and while electric cars are currently on the market, they're just not yet at a widespread ownership by consumers due to availability and ease of use from the customer's standpoint. It's much easier to find a gas station than a charging station for your car, especially in rural communities. +ACI-,cc19 pilot study environment,,470
10264,2018+AC0-12+AC0-03 19:01:22.626,+ACI-Purchase and use more reusable products. There are a wide variety of reusable and recycled products on the market today, but too often people are set in their ways of buying what they're used to, regardless of the impact to the environment. Purchasing more feasible options to preserve the environment should be a goal we all share, and just needs a small change to have very drastic improved results. Reusable cups, plates, things made from recycled materials, could all help greatly. +ACI-,cc19 pilot study environment,,486
