ID,CREATED,DESCRIPTION,CHALLENGE,,LENGTH(DESCRIPTION)
10328,2018+AC0-12+AC0-04 08:46:39.008,Grow and buy organic when possible.,cc19 pilot study environment,,35
10451,2018+AC0-12+AC0-04 15:34:13.264,Compost yard debris and food waste,cc19 pilot study environment,,35
10536,2018+AC0-12+AC0-04 16:38:06.665,Install solar panels on their roof.,cc19 pilot study environment,,35
10169,2018+AC0-12+AC0-03 17:33:25.962,recyle the waste as much as possible,cc19 pilot study environment,,36
10185,2018+AC0-12+AC0-03 17:36:01.359,decreasing the cutting down of trees,cc19 pilot study environment,,36
10249,2018+AC0-12+AC0-03 18:44:28.193,pass more legislation for companies,cc19 pilot study environment,,36
10320,2018+AC0-12+AC0-04 08:38:55.01,turn off all lights when not in use,cc19 pilot study environment,,36
10160,2018+AC0-12+AC0-03 17:30:30.42,Work closer to home and buy a bicycle,cc19 pilot study environment,,37
10329,2018+AC0-12+AC0-04 08:46:56.916,Avoid using chemicals and pesticides.,cc19 pilot study environment,,37
10434,2018+AC0-12+AC0-04 15:29:53.641,change every bulb in your home to LED,cc19 pilot study environment,,37
10541,2018+AC0-12+AC0-04 16:39:34.099,Stop procreating at such a fast clip.,cc19 pilot study environment,,37
10313,2018+AC0-12+AC0-04 08:36:55.562,dispose batteries in appropriate bins,cc19 pilot study environment,,38
10322,2018+AC0-12+AC0-04 08:40:26.227,use light bulbs that are eco friendly,cc19 pilot study environment,,38
10463,2018+AC0-12+AC0-04 15:36:55.233,install solar panels or wind turbine ,cc19 pilot study environment,,38
10447,2018+AC0-12+AC0-04 15:33:51.349,Buy products that have less packaging,cc19 pilot study environment,,38
10207,2018+AC0-12+AC0-03 17:53:36.474,Use cloth napkins instead of paper ones,cc19 pilot study environment,,39
10375,2018+AC0-12+AC0-04 09:56:36.874,Boycott items that are not recyclable.,cc19 pilot study environment,,39
10455,2018+AC0-12+AC0-04 15:35:04.031,Install a rain water collection system,cc19 pilot study environment,,39
10510,2018+AC0-12+AC0-04 15:55:35.979,Turn off your computer when not in use,cc19 pilot study environment,,39
10212,2018+AC0-12+AC0-03 17:56:28.443,Unplug appliances that are rarely used. ,cc19 pilot study environment,,40
10321,2018+AC0-12+AC0-04 08:39:45.243,Compost organic waste whenever possible.,cc19 pilot study environment,,40
10404,2018+AC0-12+AC0-04 10:32:17.688,Switching gasoline to run on electronic.,cc19 pilot study environment,,40
10305,2018+AC0-12+AC0-04 08:35:26.233,take public transportation to get around,cc19 pilot study environment,,41
10423,2018+AC0-12+AC0-04 15:26:19.995,Only buy EnergyStar certified appliances,cc19 pilot study environment,,41
10429,2018+AC0-12+AC0-04 15:29:12.911,Take public transportation when possible,cc19 pilot study environment,,41
10511,2018+AC0-12+AC0-04 15:55:45.368,Get solar panels installed on your house,cc19 pilot study environment,,41
10554,2018+AC0-12+AC0-04 16:49:21.851,Create more efficient battery technology.,cc19 pilot study environment,,41
10180,2018+AC0-12+AC0-03 17:35:18.911,stop releasing harmful chemicals in oceans,cc19 pilot study environment,,42
10314,2018+AC0-12+AC0-04 08:37:02.248,+ACI-recycle your plastics, glass, paper, etc.+ACI-,cc19 pilot study environment,,42
10318,2018+AC0-12+AC0-04 08:38:27.582,+ACI-avoid using plastic plates, cups, dishware+ACI-,cc19 pilot study environment,,42
10471,2018+AC0-12+AC0-04 15:39:59.699,Only do laundry when you have a full load,cc19 pilot study environment,,42
10198,2018+AC0-12+AC0-03 17:49:07.33,Lower the thermostat on your water heater. ,cc19 pilot study environment,,43
10414,2018+AC0-12+AC0-04 13:29:56.45,make watering plants on farm more efficient,cc19 pilot study environment,,43
10428,2018+AC0-12+AC0-04 15:29:05.489,Reduce the amount that you drive each month,cc19 pilot study environment,,43
10311,2018+AC0-12+AC0-04 08:36:44.517,take the plugs out of all unused electronics,cc19 pilot study environment,,44
10334,2018+AC0-12+AC0-04 08:50:00.286,We can stop using disposable plastic straws.,cc19 pilot study environment,,44
10400,2018+AC0-12+AC0-04 10:30:43.601,We can start by recycling our water bottles.,cc19 pilot study environment,,44
10415,2018+AC0-12+AC0-04 13:30:35.291,make factories more environmentally friendly,cc19 pilot study environment,,44
10492,2018+AC0-12+AC0-04 15:47:29.191,Use your computer and other electronics less,cc19 pilot study environment,,44
10181,2018+AC0-12+AC0-03 17:35:24.047,+ACI-Don't litter, pick up litter when you see it.+ACI-,cc19 pilot study environment,,45
10290,2018+AC0-12+AC0-03 19:12:16.866,People can start composting their food waste.,cc19 pilot study environment,,45
10306,2018+AC0-12+AC0-04 08:35:35.979,use grocery bags when going grocery shopping,cc19 pilot study environment,,45
10383,2018+AC0-12+AC0-04 10:00:11.03,Use public transportation whenever possible.,cc19 pilot study environment,,45
