ID,CREATED,DESCRIPTION,CHALLENGE,LENGTH(DESCRIPTION)
10762,2018+AC0-12+AC0-19 16:53:17.416,you can have interactive flight charts in airports,cc19 c3 fabric display,51
10840,2018+AC0-12+AC0-19 18:32:02.924,Keep score of a game right on the players' shirts.,cc19 c3 fabric display,51
10905,2019+AC0-01+AC0-03 13:29:41.177,Some really cool shoes could be designed with this.,cc19 c3 fabric display,51
10912,2019+AC0-01+AC0-03 14:07:48.529,Paying people to advertise products on their shirts.,cc19 c3 fabric display,52
10704,2018+AC0-12+AC0-19 14:33:10.126,A shirt that will display home movies or other video,cc19 c3 fabric display,53
10913,2019+AC0-01+AC0-03 14:08:11.542,A rotating display of protest slogans during marches.,cc19 c3 fabric display,53
10972,2019+AC0-01+AC0-03 15:28:50.139,Drivers at airport could use it to alert their fare.,cc19 c3 fabric display,53
10671,2018+AC0-12+AC0-19 14:15:36.97,maybe use it to find and locate a lost piece of fabric,cc19 c3 fabric display,54
10703,2018+AC0-12+AC0-19 14:32:55.392,A hat that displays any image or video you want on it,cc19 c3 fabric display,54
10828,2018+AC0-12+AC0-19 18:16:20.751,change the print on your clothing daily or more often,cc19 c3 fabric display,54
10830,2018+AC0-12+AC0-19 18:18:51.257,design textile patterns to be uploaded for production,cc19 c3 fabric display,54
10968,2019+AC0-01+AC0-03 15:25:39.961,Use it as a walking billboard to advertise a business.,cc19 c3 fabric display,54
10700,2018+AC0-12+AC0-19 14:31:10.569,A shirt that advertises for charities that you support,cc19 c3 fabric display,55
10766,2018+AC0-12+AC0-19 16:57:02.657,you can customize almost anything with a new background,cc19 c3 fabric display,55
10958,2019+AC0-01+AC0-03 14:59:18.544,You could use this to advertise things on your clothes.,cc19 c3 fabric display,55
10790,2018+AC0-12+AC0-19 17:20:39.14,cars can make displays cheaper on the back of car seats,cc19 c3 fabric display,56
10801,2018+AC0-12+AC0-19 17:29:55.256,tents can now be lit up with images and be more exciting,cc19 c3 fabric display,56
10857,2019+AC0-01+AC0-03 13:14:03.059,You could use this as a button for a fashion accessory.,cc19 c3 fabric display,56
10861,2019+AC0-01+AC0-03 13:15:09.506,This could be used to do high resolution medical scans.,cc19 c3 fabric display,56
11002,2019+AC0-01+AC0-04 21:08:49.335,You could have shirts with changeable patterns/graphics.,cc19 c3 fabric display,56
10803,2018+AC0-12+AC0-19 17:30:39.465,restaurants might be able to use more vibrant tablecloths,cc19 c3 fabric display,57
10826,2018+AC0-12+AC0-19 18:15:44.171,frame and use for menu board at restaurant or coffee shop,cc19 c3 fabric display,57
10954,2019+AC0-01+AC0-03 14:56:53.33,Thinner screens could be made for service industry jobs. ,cc19 c3 fabric display,57
10835,2018+AC0-12+AC0-19 18:23:39.99,Impromptu matching outfits for friends going out together,cc19 c3 fabric display,58
10894,2019+AC0-01+AC0-03 13:25:45.09,This could be used as a ice skating performance enhancer.,cc19 c3 fabric display,58
10910,2019+AC0-01+AC0-03 13:32:26.563,This could be used to make different appearing bed sheets.,cc19 c3 fabric display,58
10976,2019+AC0-01+AC0-03 15:33:50.27,Put it on a baby crib hanging toy to keep their attention,cc19 c3 fabric display,58
